
 AlternateTGRP 

  ANI-INDEXING_AUTOMATION_TEST_31;PASSED
  ANI-INDEXING_AUTOMATION_TEST_32;PASSED
  ANI-INDEXING_AUTOMATION_TEST_33;PASSED
  ANI-INDEXING_AUTOMATION_TEST_34;PASSED
  ANI-INDEXING_AUTOMATION_TEST_35;PASSED
  ANI-INDEXING_AUTOMATION_TEST_36;PASSED

 ANI_INDEXING_SM_AUTOMATION_SUITE 

  ANI-INDEXING_AUTOMATION_TEST_37;PASSED
  ANI-INDEXING_AUTOMATION_TEST_38;PASSED
  ANI-INDEXING_AUTOMATION_TEST_39;PASSED
  ANI-INDEXING_AUTOMATION_TEST_40;PASSED
  ANI-INDEXING_AUTOMATION_TEST_41;PASSED
  ANI-INDEXING_AUTOMATION_TEST_42;PASSED
  ANI-INDEXING_AUTOMATION_TEST_43;PASSED
  ANI-INDEXING_AUTOMATION_TEST_44;PASSED
  ANI-INDEXING_AUTOMATION_TEST_45;PASSED
  ANI-INDEXING_AUTOMATION_TEST_46;PASSED
  ANI-INDEXING_AUTOMATION_TEST_47;PASSED
  ANI-INDEXING_AUTOMATION_TEST_48;PASSED
  ANI-INDEXING_AUTOMATION_TEST_49;PASSED
  ANI-INDEXING_AUTOMATION_TEST_50;PASSED
  ANI-INDEXING_AUTOMATION_TEST_51;PASSED
  ANI-INDEXING_AUTOMATION_TEST_52;PASSED
  ANI-INDEXING_AUTOMATION_TEST_53;PASSED
  ANI-INDEXING_AUTOMATION_TEST_54;PASSED
  ANI-INDEXING_AUTOMATION_TEST_55;PASSED
  ANI-INDEXING_AUTOMATION_TEST_56;PASSED
  ANI-INDEXING_AUTOMATION_TEST_57;PASSED
  ANI-INDEXING_AUTOMATION_TEST_58;PASSED
  ANI-INDEXING_AUTOMATION_TEST_59;PASSED
  ANI-INDEXING_AUTOMATION_TEST_60;PASSED

 Authorization Code Display Test Suite 

  Create Domain and User, Assign Services and Resources --;PASSED
  Create Authorization Code and System Profile, Assign System Profile to User, Modify Authorization Code and System Profile --;PASSED
  Enable and Disable Auth Code Display --;PASSED
  Unassign and Delete Authorization Code and System Profile --;PASSED
  Remove Services, Delete User and Domain --;PASSED

 BCHANNEL_CLI_AUTOMATION_SUITE 

  BCHANNEL_CLI_AUTOMATION_TEST_1;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_2;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_2;INACTIVE
  BCHANNEL_CLI_AUTOMATION_TEST_4;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_5;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_6;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_6;INACTIVE
  BCHANNEL_CLI_AUTOMATION_TEST_8;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_9;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_10;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_10;INACTIVE
  BCHANNEL_CLI_AUTOMATION_TEST_3;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_13;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_14;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_15;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_16;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_17;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_18;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_19;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_20;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_21;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_22;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_23;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_24;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_25;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_26;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_27;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_28;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_29;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_30;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_31;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_32;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_33;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_34;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_35;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_36;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_37;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_38;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_39;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_41;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_42;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_43;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_44;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_45;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_46;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_47;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_48;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_49;PASSED
  BCHANNEL_CLI_AUTOMATION_TEST_50;PASSED

 BCHANNEL_AUTOMATION_PROVISIONING_SUITE 

  BCHANNEL_AUTOMATION_TEST_51;PASSED
  BCHANNEL_AUTOMATION_TEST_52;PASSED
  BCHANNEL_AUTOMATION_TEST_53;PASSED
  BCHANNEL_AUTOMATION_TEST_54;PASSED
  BCHANNEL_AUTOMATION_TEST_55;PASSED
  BCHANNEL_AUTOMATION_TEST_56;PASSED
  BCHANNEL_AUTOMATION_TEST_57;PASSED
  BCHANNEL_AUTOMATION_TEST_58;PASSED
  BCHANNEL_AUTOMATION_TEST_59;PASSED

 BCHANNEL_AUTOMATION_SUITE 

  BCHANNEL_AUTOMATION_TEST_1;PASSED
  BCHANNEL_AUTOMATION_TEST_2;PASSED
  BCHANNEL_AUTOMATION_TEST_2;INACTIVE
  BCHANNEL_AUTOMATION_TEST_4;PASSED
  BCHANNEL_AUTOMATION_TEST_5;PASSED
  BCHANNEL_AUTOMATION_TEST_6;PASSED
  BCHANNEL_AUTOMATION_TEST_6;INACTIVE
  BCHANNEL_AUTOMATION_TEST_8;PASSED
  BCHANNEL_AUTOMATION_TEST_9;PASSED
  BCHANNEL_AUTOMATION_TEST_10;PASSED
  BCHANNEL_AUTOMATION_TEST_10;INACTIVE
  BCHANNEL_AUTOMATION_TEST_3;PASSED
  BCHANNEL_AUTOMATION_TEST_13;PASSED
  BCHANNEL_AUTOMATION_TEST_14;PASSED
  BCHANNEL_AUTOMATION_TEST_15;PASSED
  BCHANNEL_AUTOMATION_TEST_16;PASSED
  BCHANNEL_AUTOMATION_TEST_17;PASSED
  BCHANNEL_AUTOMATION_TEST_18;PASSED
  BCHANNEL_AUTOMATION_TEST_19;PASSED
  BCHANNEL_AUTOMATION_TEST_20;PASSED
  BCHANNEL_AUTOMATION_TEST_21;PASSED
  BCHANNEL_AUTOMATION_TEST_22;PASSED
